Article Date,Advisor Name,Stock Name,Company Code,Buy/Sell/Hold,Price on Article Day,Target Price,Today's Price,Time to reach target,Article URL
"April 22, 2024",Sharekhan,HDFC Bank,HDFCBANK,buy,1460.4,1900,1630.3,Not reached yet.,https://m.moneycontrol.com/news/recommendations/buy-hdfc-bank-targetrs-1900-sharekhan_17529801.html
"April 23, 2024",KR Choksey,HDFC Life,HDFCLIFE,buy,622.25,745,634.25,Not reached yet.,https://m.moneycontrol.com/news/recommendations/buy-hdfc-life-insurance-co-targetrs-745-kr-choksey_17530291.html
"April 10, 2024",Motilal Oswal,MCX India,MCX,buy,3663.6,4300,3748.55,Not reached yet.,https://m.moneycontrol.com/news/recommendations/buy-mcx-targetrs-4300-motilal-oswal_17521781.html
"April 16, 2024",Sharekhan,Lupin,LUPIN,buy,1669.85,1868,1801.7,Not reached yet.,https://m.moneycontrol.com/news/recommendations/buy-lupin-targetrs-1868-sharekhan_17525431.html
"April 22, 2024",LKP Research,HDFC Bank,HDFCBANK,buy,1460.4,1756,1630.3,74,https://m.moneycontrol.com/news/recommendations/buy-hdfc-bank-targetrs-1756-lkp-research_17529831.html
"April 19, 2024",Sharekhan,HDFC Life,HDFCLIFE,buy,621.95,750,634.25,Not reached yet.,https://m.moneycontrol.com/news/recommendations/buy-hdfc-life-insurance-company-targetrs-750-sharekhan_17529351.html
"April 08, 2024",ICICI Securities,Marico,MARICO,buy,539.0,600,643.9,53,https://m.moneycontrol.com/news/recommendations/buy-marico-targetrs-600-icici-securities_17519001.html
"April 22, 2024",Prabhudas Lilladher,Wipro,WIPRO,buy,504.4,440,560.2,0,https://m.moneycontrol.com/news/recommendations/hold-wipro-targetrs-440-prabhudas-lilladher_17530111.html
"April 22, 2024",Emkay,Infosys,INFY,buy,1611.4,1750,1708.95,Not reached yet.,https://m.moneycontrol.com/news/recommendations/buy-infosys-targetrs-1750-emkay_17530211.html
"April 16, 2024",Motilal Oswal,Cello World,CELLO,buy,825.25,1100,975.8,Not reached yet.,https://m.moneycontrol.com/news/recommendations/buy-cello-world-targetrs-1100-motilal-oswal_17525331.html
"April 19, 2024",Prabhudas Lilladher,Bajaj Auto,BAJAJ-AUTO,buy,8879.05,7267,9438.35,0,https://m.moneycontrol.com/news/recommendations/sell-bajaj-auto-targetrs-7267-prabhudas-lilladher_17529001.html
"April 22, 2024",Sharekhan,Infosys,INFY,buy,1611.4,1700,1708.95,81,https://m.moneycontrol.com/news/recommendations/buy-infosys-targetrs-1700-sharekhan_17530071.html
"April 23, 2024",Emkay,Guj State Petro,GSPL,buy,346.55,370,315.0,14,https://m.moneycontrol.com/news/recommendations/reduce-gujarat-state-petronet-targetrs-370-emkay_17530221.html
"April 23, 2024",Emkay,Bajaj Auto,BAJAJ-AUTO,buy,8383.55,7900,9438.35,0,https://m.moneycontrol.com/news/recommendations/reduce-bajaj-auto-targetrs-7900-emkay_17530241.html
"April 15, 2024",Motilal Oswal,TCS,TCS,buy,4107.1,4600,4166.8,Not reached yet.,https://m.moneycontrol.com/news/recommendations/buy-tcs-targetrs-4600-motilal-oswal_17523791.html
"April 05, 2024",Motilal Oswal,Brigade Ent,BRIGADE,buy,997.4,1250,1301.3,63,https://m.moneycontrol.com/news/recommendations/buy-brigade-enterprise-targetrs-1250-motilal-oswal_17516911.html
"April 23, 2024",ICICI Securities,City Union Bank,CUB,buy,129.5,170,161.63,73,https://m.moneycontrol.com/news/recommendations/buy-city-union-bank-targetrs-170-icici-securities_17531361.html
"April 23, 2024",Anand Rathi,Jindal Drilling,JINDRILL,buy,572.9,960,639.2,Not reached yet.,https://m.moneycontrol.com/news/recommendations/buy-jindal-drillingindustries-targetrs-960-anand-rathi_17531431.html
"April 22, 2024",Emkay,HDFC Bank,HDFCBANK,buy,1460.4,2000,1630.3,Not reached yet.,https://m.moneycontrol.com/news/recommendations/buy-hdfc-bank-targetrs-2000-emkay_17530251.html
"April 19, 2024",Motilal Oswal,Tata Comm,TATACOMM,buy,2011.5,1910,1860.0,0,https://m.moneycontrol.com/news/recommendations/neutral-tata-communications-targetrs-1910-motilal-oswal_17529211.html
"April 23, 2024",Emkay Global Financial,Bajaj Finance,BAJFINANCE,buy,6397.45,9000,7008.95,Not reached yet.,https://m.moneycontrol.com/news/recommendations/buy-bajaj-finance-targetrs-9000-emkay-global-financial_17531641.html
"April 22, 2024",Religare Retail Research,HDFC Bank,HDFCBANK,buy,1460.4,2010,1630.3,Not reached yet.,https://m.moneycontrol.com/news/recommendations/buy-hdfc-bank-targetrs-2010-religare-retail-research_17529861.html
"April 16, 2024",Sharekhan,Exide Ind,EXIDEIND,buy,328.75,477,558.45,54,https://m.moneycontrol.com/news/recommendations/buy-exide-industries-targetrs-477-sharekhan_17525441.html
"April 23, 2024",ICICI Securities,HDFC Bank,HDFCBANK,buy,1455.45,1850,1630.3,Not reached yet.,https://m.moneycontrol.com/news/recommendations/buy-hdfc-bank-targetrs-1850-icici-securities_17531671.html
"April 22, 2024",Motilal Oswal,HDFC Bank,HDFCBANK,buy,1460.4,1950,1630.3,Not reached yet.,https://m.moneycontrol.com/news/recommendations/buy-hdfc-bank-targetrs-1950-motilal-oswal_17529881.html
"April 17, 2024",Emkay Global Financial,TCS,TCS,buy,4012.1,3950,4166.8,0,https://m.moneycontrol.com/news/recommendations/reduce-tcs-targetrs-3950-emkay-global-financial_17526621.html
"April 19, 2024",ICICI Securities,Just Dial,JUSTDIAL,buy,879.4,1260,1013.1,Not reached yet.,https://m.moneycontrol.com/news/recommendations/buy-just-dial-targetrs-1260-icici-securities_17529181.html
"April 22, 2024",Prabhudas Lilladher,Guj State Petro,GSPL,buy,335.95,392,315.0,Not reached yet.,https://m.moneycontrol.com/news/recommendations/buy-gujarat-state-petronet-targetrs-392-prabhudas-lilladher_17530151.html
"April 18, 2024",ICICI Securities,Ashok Leyland,ASHOKLEY,buy,170.7,140,225.56,0,https://m.moneycontrol.com/news/recommendations/sell-ashok-leyland-targetrs-140-icici-securities_17527611.html
"April 10, 2024",Profitmart,Bharat Agri,,buy,,240,,,https://m.moneycontrol.com/news/recommendations/buy-bharat-agri-fertrealty-targetrs-240-profitmart_17521691.html
"April 04, 2024",KR Choksey,Divis Labs,DIVISLAB,buy,3729.2,3931,4515.3,46,https://m.moneycontrol.com/news/recommendations/accumulate-divi’s-laboratories-targetrs-3931-kr-choksey_17514371.html
"April 19, 2024",ICICI Securities,Angel One,ANGELONE,buy,2736.15,3469,2241.35,Not reached yet.,https://m.moneycontrol.com/news/recommendations/buy-angel-one-targetrs-3469-icici-securities_17529191.html
"April 23, 2024",ICICI Securities,HDFC Life,HDFCLIFE,buy,622.25,739,634.25,Not reached yet.,https://m.moneycontrol.com/news/recommendations/buy-hdfc-life-insurance-company-targetrs-739-icici-securities_17531391.html
"April 23, 2024",Emkay Global Financial,Persistent,PERSISTENT,buy,4154.3,3700,4909.75,0,https://m.moneycontrol.com/news/recommendations/reduce-persistent-systems-targetrs-3700-emkay-global-financial_17531581.html
"April 22, 2024",Anand Rathi,Coal India,COALINDIA,buy,417.05,520,499.6,Not reached yet.,https://m.moneycontrol.com/news/recommendations/buy-coal-india-targetrs-520-anand-rathi_17530091.html
"April 17, 2024",KR Choksey,TCS,TCS,buy,4012.1,4194,4166.8,6,https://m.moneycontrol.com/news/recommendations/accumulate-tata-consultancy-services-targetrs-4194-kr-choksey_17526471.html
"April 18, 2024",Anand Rathi,ABB India,ABB,buy,5700.7,390,8245.9,0,https://m.moneycontrol.com/news/recommendations/buy-hikal-targetrs-390-anand-rathi_17527761.html
"April 22, 2024",Sharekhan,Wipro,WIPRO,buy,504.4,500,560.2,0,https://m.moneycontrol.com/news/recommendations/hold-wipro-targetrs-500-sharekhan_17529811.html
